Longitude,Latitude,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Speed_limit,Year,Cluster,Day_of_year,Hour
-0.122618,51.506273,2,1,3,3211,30,2012,47,331,12
-0.15604,51.513638,3,1,3,40,30,2012,35,332,7
-0.174241,51.534246,4,1,3,41,30,2012,46,333,17
-0.124427,51.500817,3,1,3,302,30,2012,44,332,19
-0.127027,51.507693,2,1,3,4,30,2012,26,338,14
-0.201602,51.524147,3,1,3,404,30,2012,39,339,9
-0.15303,51.523932,3,1,6,0,30,2012,40,325,16
-0.170062,51.519793,6,1,3,5,50,2012,49,342,20
-0.134856,51.510066,3,1,3,4201,30,2012,42,339,18
-0.142181,51.507124,2,1,5,0,30,2012,51,345,2
-0.115816,51.510481,6,1,3,3211,50,2012,24,342,18
-0.159758,51.52152,7,1,3,41,30,2012,50,343,4
-0.169918,51.519791,6,1,3,404,40,2012,49,321,17
-0.150977,51.514098,3,1,3,40,30,2012,33,346,17
-0.142462,51.507309,1,1,5,0,30,2012,51,351,2
-0.127164,51.507875,6,1,3,4,30,2012,26,349,11
-0.181397,51.528332,2,1,3,5,30,2012,37,352,10
-0.164171,51.515744,3,1,3,5,30,2012,53,339,15
-0.151701,51.514019,4,1,3,40,30,2012,33,347,18
-0.127334,51.507248,5,1,3,4,30,2012,26,355,5
-0.126307,51.500667,2,1,3,3212,30,2012,52,352,5
-0.136272,51.503613,4,1,5,0,30,2012,29,361,10
-0.144235,51.523973,5,1,3,4201,30,2012,27,355,12
-0.165568,51.516845,2,1,3,5,50,2012,32,352,20
-0.135837,51.503696,3,1,5,0,30,2012,29,346,3
-0.148009,51.523313,1,1,3,4201,30,2012,20,351,11
-0.127167,51.507785,4,1,3,4,30,2012,26,361,21
-0.142284,51.515219,1,1,3,40,50,2012,19,358,1
-0.113491,51.521414,6,2,3,401,30,2012,54,6,18
-0.126733,51.528911,7,2,3,501,30,2012,62,7,14
-0.137561,51.542662,5,2,3,503,30,2012,55,12,18
-0.119903,51.516212,2,2,3,4200,30,2012,56,23,14
-0.121092,51.518839,5,2,3,401,30,2012,57,26,13
-0.11393,51.521242,2,2,3,401,30,2012,54,37,13
-0.125972,51.522873,4,2,3,4200,30,2012,449,32,8
-0.175246,51.541546,5,2,3,41,30,2012,58,61,13
-0.138725,51.528292,5,2,3,400,30,2012,59,61,23
-0.120431,51.517389,2,2,3,4200,30,2012,65,79,8
-0.142471,51.538963,2,2,3,400,30,2012,60,72,18
-0.130837,51.527268,6,2,3,501,30,2012,61,76,19
-0.131129,51.527182,3,2,3,501,30,2012,61,80,21
-0.126445,51.528906,4,2,3,501,30,2012,62,74,9
-0.120431,51.517389,3,2,3,4200,30,2012,65,87,15
-0.126585,51.528998,7,2,3,501,30,2012,62,84,17
-0.1211,51.518659,6,2,3,4200,30,2012,57,76,14
-0.122773,51.530556,4,2,3,501,30,2012,63,46,7
-0.128059,51.524705,6,2,3,4200,30,2012,64,104,22
-0.131129,51.527182,1,2,3,501,30,2012,61,113,0
-0.130977,51.52736,7,2,3,4200,30,2012,61,105,22
-0.113343,51.521502,1,2,3,5200,30,2012,54,113,17
-0.120568,51.517571,5,2,3,40,30,2012,65,89,10
-0.122481,51.530641,1,2,3,501,30,2012,63,120,9
-0.175387,51.541638,7,2,3,41,30,2012,58,119,6
-0.121229,51.519021,4,2,3,4200,30,2012,57,123,17
-0.130841,51.527178,4,2,3,501,30,2012,61,123,11
-0.122776,51.530466,7,2,3,501,30,2012,63,84,10
-0.138717,51.528472,6,2,3,400,30,2012,59,146,13
-0.175246,51.541546,7,2,3,41,30,2012,58,140,17
-0.126411,51.515686,4,2,3,401,30,2012,67,151,11
-0.119756,51.516299,1,2,3,4200,30,2012,56,141,2
-0.137558,51.542752,5,2,3,5202,30,2012,55,145,17
-0.106975,51.522119,4,3,3,5201,30,2012,66,165,9
-0.130837,51.527268,4,2,3,501,30,2012,61,165,3
-0.138717,51.528472,3,2,3,400,30,2012,59,136,16
-0.12685,51.515513,2,2,3,401,30,2012,67,170,18
-0.137561,51.542662,3,2,3,503,30,2012,55,178,14
-0.126991,51.515606,2,2,3,40,30,2012,67,170,22
-0.127922,51.524523,5,2,3,4200,30,2012,64,173,23
-0.126703,51.515601,4,2,3,40,30,2012,67,151,13
-0.106978,51.522029,1,3,3,201,30,2012,66,190,20
-0.107119,51.522121,1,3,3,201,30,2012,66,190,0
-0.138721,51.528382,3,2,3,400,30,2012,59,192,13
-0.138721,51.528382,6,2,3,400,30,2012,59,181,23
-0.137561,51.542662,1,2,3,5202,30,2012,55,197,14
-0.106831,51.522116,7,3,3,5201,30,2012,66,196,17
-0.126555,51.515689,4,2,3,40,30,2012,67,186,20
-0.130841,51.527178,1,2,3,501,30,2012,61,211,3
-0.138717,51.528472,4,2,3,400,30,2012,59,200,20
-0.1307,51.527086,4,2,3,4200,30,2012,61,221,8
-0.121089,51.518928,1,2,3,401,30,2012,57,155,16
-0.120431,51.517389,5,2,3,4200,30,2012,65,215,21
-0.142907,51.53888,4,2,3,4201,30,2012,60,221,18
-0.148951,51.542752,7,2,3,502,30,2012,68,224,2
-0.126847,51.515603,2,2,3,40,30,2012,67,205,8
-0.149232,51.542937,2,2,3,502,30,2012,68,233,15
-0.119615,51.516207,2,2,3,4200,30,2012,56,233,0
-0.113347,51.521412,5,2,3,5200,30,2012,54,215,7
-0.126267,51.515684,2,2,3,401,30,2012,67,233,12
-0.122488,51.530462,6,2,3,5200,30,2012,63,230,9
-0.119612,51.516297,7,2,3,4200,30,2012,56,252,11
-0.138717,51.528472,5,2,3,400,30,2012,59,243,12
-0.121236,51.518841,4,2,3,401,30,2012,57,249,6
-0.120941,51.519016,2,2,3,401,30,2012,57,254,11
-0.142464,51.539143,6,2,3,503,30,2012,60,251,22
